ticker,yr,fecha,f4,sector,ret,ps,mcap,mom,r40,sdmb,sdcr,mb,cr
DHT,2007,2007-02-09,2008-02-07,Industrials,-18.72,5.1000,442.6,7.28,0.4487,0.02335,0.16476,0.7880,-0.1120
DIN,2007,2007-02-21,2008-02-27,desconocido,-20.66,2.8800,985.0,17.62,0.2052,0.01215,0.05713,0.3996,-0.0007
DINO,2007,2007-02-12,2008-02-19,Energy,0.23,0.7400,2977.2,23.84,0.1710,0.03917,0.14745,0.1051,0.0979
DIOD,2007,2007-02-06,2008-02-13,Technology,-1.77,4.5500,1562.1,-14.68,0.7092,0.00817,0.25069,0.3341,0.5388
DISCA,2007,2007-02-28,2008-02-15,desconocido,41.58,6.8200,4692.8,9.55,0.0975,0.02214,0.29548,0.3173,0.1411
DKS,2007,2007-03-13,2008-03-11,Consumer Cyclical,-6.83,0.9700,3020.7,19.54,0.3203,0.01754,0.18586,0.3121,0.2081
DLB,2007,2007-02-01,2008-01-31,Technology,28.73,9.2900,3762.1,67.84,0.5234,0.03984,0.08279,0.8178,0.1474
DLX,2007,2007-01-25,2008-01-24,Communication Services,-21.53,0.9000,1475.7,64.29,0.1736,0.01250,0.22396,0.6350,-0.0112
DMC,2007,2007-03-15,2008-02-27,Consumer Defensive,82.55,0.3600,1103.4,7.97,-0.1832,0.03102,0.27979,0.0778,-0.1203
DRH,2007,2007-05-01,2008-02-29,Real Estate,-32.30,3.4400,1692.1,10.41,0.7412,0.14660,1.04013,0.6344,0.6213
DRQ,2007,2007-02-27,2008-02-29,desconocido,19.18,3.5800,1585.0,40.66,0.5325,0.05445,0.16840,0.4249,0.2468
DSX,2007,2007-02-21,2008-02-15,desconocido,57.68,8.4000,975.2,44.13,1.6369,0.02838,0.35181,0.7738,0.4657
DTSI,2007,2007-03-31,2008-03-31,desconocido,-0.83,7.6500,445.5,23.09,-0.6229,0.03816,0.28247,0.7191,-0.2359
DXC,2007,2007-02-06,2008-02-04,Technology,-20.94,0.3100,4551.4,8.43,0.0838,0.00851,0.04135,0.2018,0.0167
DY,2007,2007-02-27,2008-02-26,Industrials,-34.81,0.8400,886.3,-1.31,0.1044,0.01501,0.05194,0.1840,0.0580
EEFT,2007,2007-02-20,2008-02-20,Technology,-25.21,1.7100,1075.9,12.54,0.2430,0.00470,0.13764,0.3051,0.1555
EGY,2007,2007-03-05,2008-03-13,Energy,-11.09,3.4100,335.3,-24.37,0.4133,0.04667,0.62404,0.7440,-0.1466
ELNK,2007,2007-03-31,2008-03-31,desconocido,3.28,1.0700,953.5,-23.46,-0.6236,0.02934,0.34064,0.6415,-0.6512
ELRC,2007,2007-02-28,2008-02-29,desconocido,-14.66,4.8100,395.7,57.62,-0.5087,0.02912,0.04179,0.8891,-0.6649
ELY,2007,2007-02-08,2008-01-31,desconocido,6.98,1.1000,1119.7,14.39,0.0470,0.05480,0.27302,0.3267,0.1644
EMMS,2007,2007-01-09,2008-01-09,desconocido,-71.58,0.8900,325.2,-30.76,0.1225,0.04951,0.21113,0.3218,-0.0693
